제목,내용
대구보건대 유아교육과  특허 등록과 창업 등 차별화  눈길 ,학생들은 여기에 그치지 않고 유아용 요리멀티카트  유아용 치약 자동공급 칫솔  방향조절 칠판 등 3개의 특허도 등록했다  학생들이 유치원 실습 등을 경험하면서 겪은 애로점을 개선하고자 시도한 노력이 결실을 맺은   
 뛰어난 품질  합리적 가격 통했다  마켓컬리 PB  컬리스  3배 고속성장,지난해 칫솔에 이어 두 번째로 선보이는 비   식품 컬리스  물티슈 는 올해 1월 출시 이후 매달 평균 45 씩 판매량이 증가했다  출시 8개월만에 누적 판매량은 약 40만개를 달성했다  이는 올해 판매한 물티슈 전체   
함박미소  휴대용 칫솔살균기 론칭 기념 할인 프로모션 진행,여우미가 함박미소 휴대용 칫솔 살균기 론칭 기념으로 포토리뷰 작성 시 네이버 페이를 적립해드리는 등 혜택을 제공한다고 6일 밝혔다  함박미소 휴대용 칫솔살균기의 경우 충전식으로 무선 사용이 가능하며 가벼운   
프록시헬스케어   K예비유니콘  후보 선정  트로마츠 기술   칫솔 넘어 의료 산업 분야로 확장,세계 최초로 미세전류를 활용해 치석과 치태를 제거하는 칫솔을 개발한 프록시헬스케어가 K예비유니콘    회사는 트로마츠 기술을 오랄케어 분야에서 상용화해 치약과 칫솔제품을 출시했다  트로마츠 기술을 적용한   
아이오브  우리아이 칫솔질 도와주는 이지스텐드 가로칫솔 펀딩 진행,아이오브의 이지스텐드 가로칫솔이 와디즈를 통해 펀딩을 진행한다고 전했다  아이들은 칫솔질을 하다가 다른 행동을 하는 경우가 많은데 이때 칫솔헤드 부분이 바닥에 닿으면 이물질에 오염될 수 있다  이에 아이오브가   
칫솔 바꿨을 뿐인데  잔기술 획득에 은은한 성취감까지,가장 작은 실천  칫솔 바꾸기 문제라는 걸 알았으니 계속 방관할 수는 없다  그래서 일단 최소한의 노력으로    그래서 생각한 방법이 칫솔 바꾸기였다  평소에 쓰던 플라스틱 칫솔을 대나무 칫솔로 바꿨다  마침 쓰던   
 신제품 신기술 오스템파마  치석 잇몸케어 치약 칫솔 출시,오스템파마 대표 문병점 가 치석 잇몸케어 기능성 치약 칫솔 사진 을 선보였다  이번에 출시한  오스템I 치석케어   치약 칫솔과  오스템G 잇몸케어   칫솔은 이마트에서 독점 판매된다  오스템I 치약은 치석 침착   
특급호텔 칫솔에 고기 찌꺼기  일회용품 재사용 조사 나선다,일회용 칫솔에 음식물 찌꺼기가 묻어있는 등 사용 흔적이 발견돼 관할 구청이 조사에 나섰다  3일 조선닷컴 취재를 종합하면  지난달 30일 부산 해운대구에 위치한 한 유명 호텔에서 투숙하던 A씨가  1회용 칫솔이   
이마트 프리미엄 치약 칫솔  오스템 G I  선봬,치약 칫솔 브랜드  오스템 G I   이마트 제공  정희원 기자  이마트가 오스템파마와 손잡고 프리미엄 덴탈케어 시장 공략에 나선다  이마트와 오스템파마는 새로운 프리미엄 치약 칫솔 브랜드  오스템 G I    
 A 유통가 소식  이마트  오스템 치약 칫솔 브랜드 단독 출시  ,칫솔 브랜드 단독 출시 이마트가 오스템 파마와 손잡고 프리미엄 덴탈케어 시장 공략에 나선다  이마트는 임플란트 판매량 전세계 1위 기업인 오스템 임플란트 자회사  오스템 파마 와 손 잡고 프리미엄 치약 칫솔   
해운대 유명 호텔서 재사용 추정 칫솔 나와,전화평 기자   부산 해운대구 한 유명 호텔에서 재사용한 것으로 추정되는 칫솔이 나와 논란이 일고 있다  30일 오후 부산 해운대구 한 유명 호텔을 찾은 A씨는 동행자 몫과 함께 칫솔 2개를 지급받았다  A씨는 이중 1개의   
 치약이 그대로  해운대 유명 호텔서  칫솔 재사용  논란,부산 해운대구의 한 호텔에서 이물질이 묻어 있는 칫솔이 나와 재사용 논란이 일고 있다  30일 부산 해운대구 한 호텔을 찾은 숙박객 A씨는 체크인 후 일회용 칫솔 2개를 받았다  이윽고 A씨는 칫솔 2개 중 1개에 흰색   
하이웰코리아  프로폴리스 치약 칫솔  증정 이벤트 진행,하이웰코리아가 프로폴리스 치약과 칫솔 증정 이벤트를 실시한다고 2일 밝혔다  이벤트 내용을 살펴보면 최종 결재 금액 10만원 이상 주문 완료 후 사은품 팝업창에서  천연유래성분 치약 1개 칫솔 1개 를 선택하면 된다    
 치약 거품 그대로  해운대 유명 호텔서  재사용 칫솔  논란,부산 해운대구 한 고급호텔에서 재사용한 것으로 추정되는 칫솔이 서비스로 제공돼 논란이 일고 있습니다  오늘 30일  오후 부산 해운대구의 한 호텔을 찾은 A 씨는 제공받은 새 칫솔에서 누군가 사용한 듯한 이물질을   
